VALUE,CLASSNAMES,R,G,B,RED,GREEN,BLUE
-9999,Fill-NoData,255,255,255,1.000000,1.000000,1.000000
11,Open Water,0,0,255,0.000000,0.000000,1.000000
12,Snow/Ice,159,161,240,0.623529,0.631373,0.941176
13,Developed-Upland Deciduous Forest,64,61,168,0.250980,0.239216,0.658824
14,Developed-Upland Evergreen Forest,68,79,137,0.266667,0.309804,0.537255
15,Developed-Upland Mixed Forest,102,119,205,0.400000,0.466667,0.803922
16,Developed-Upland Herbaceous,122,142,245,0.478431,0.556863,0.960784
17,Developed-Upland Shrubland,158,170,215,0.619608,0.666667,0.843137
21,Developed - Open Space,253,204,211,0.992157,0.800000,0.827451
22,Developed - Low Intensity,255,122,143,1.000000,0.478431,0.560784
23,Developed - Medium Intensity,253,44,79,0.992157,0.172549,0.309804
24,Developed - High Intensity,173,0,28,0.678431,0.000000,0.109804
25,Developed-Roads,1,1,1,0.003921,0.003921,0.003921
31,Barren,191,191,191,0.749020,0.749020,0.749020
32,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,230,232,250,0.901961,0.909804,0.980392
61,NASS-Vineyard,168,0,132,0.658824,0.000000,0.517647
63,NASS-Row Crop-Close Grown Crop,255,245,140,1.000000,0.960784,0.549020
64,NASS-Row Crop,250,255,119,0.980392,1.000000,0.466667
65,NASS-Close Grown Crop,255,237,119,1.000000,0.929412,0.466667
68,NASS-Wheat,250,227,163,0.980392,0.890196,0.639216
69,NASS-Aquaculture,210,255,237,0.823529,1.000000,0.929412
82,Cultivated Crops,255,255,120,1.000000,1.000000,0.470588
100,Sparse Vegetation Canopy,122,127,117,0.478431,0.498039,0.458824
101,Tree Height = 1 meter,204,255,153,0.800000,1.000000,0.600000
102,Tree Height = 2 meters,199,250,147,0.780392,0.980392,0.576471
103,Tree Height = 3 meters,192,245,142,0.752941,0.960784,0.556863
104,Tree Height = 4 meters,188,242,138,0.737255,0.949020,0.541176
105,Tree Height = 5 meters,181,237,133,0.709804,0.929412,0.521569
106,Tree Height = 6 meters,178,235,129,0.698039,0.921569,0.505882
107,Tree Height = 7 meters,171,230,124,0.670588,0.901961,0.486275
108,Tree Height = 8 meters,168,227,120,0.658824,0.890196,0.470588
109,Tree Height = 9 meters,160,222,113,0.627451,0.870588,0.443137
110,Tree Height = 10 meters,155,219,110,0.607843,0.858824,0.431373
111,Tree Height = 11 meters,150,214,105,0.588235,0.839216,0.411765
112,Tree Height = 12 meters,146,212,102,0.572549,0.831373,0.400000
113,Tree Height = 13 meters,141,207,97,0.552941,0.811765,0.380392
114,Tree Height = 14 meters,136,204,94,0.533333,0.800000,0.368627
115,Tree Height = 15 meters,131,199,90,0.513725,0.780392,0.352941
116,Tree Height = 16 meters,127,196,86,0.498039,0.768627,0.337255
117,Tree Height = 17 meters,119,191,80,0.466667,0.749020,0.313725
118,Tree Height = 18 meters,116,189,77,0.454902,0.741176,0.301961
119,Tree Height = 19 meters,110,184,73,0.431373,0.721569,0.286275
120,Tree Height = 20 meters,107,181,71,0.419608,0.709804,0.278431
