VALUE,EVT_NAME,EVT_LF,EVT_PHYS,R,G,B,RED,GREEN,BLUE
-9999,Fill-NoData,NA,NA,255,255,255,1,1,1
4401,Alaska Arctic Coastal Sedge-Dwarf-Shrubland,Shrub,Shrubland,255,205,112,1,0.803922,0.439216
4402,Alaska Arctic Floodplain Forest,Tree,Riparian,18,76,135,0.070588,0.298039,0.529412
4403,Alaska Arctic Large River Floodplain Forest,Tree,Riparian,18,76,135,0.070588,0.298039,0.529412
4404,Alaska Arctic Mesic Alder Shrubland,Shrub,Shrubland,146,237,224,0.572549,0.929412,0.878431
4405,Alaska Arctic Permafrost Plateau Dwarf-Shrub Lichen Tundra,Shrub,Shrubland,255,37,13,1,0.145098,0.05098
4406,Alaska Arctic Tidal Flat,Sparse,Sparsely Vegetated,255,153,10,1,0.6,0.039216
4407,Alaska Sub-boreal and Maritime Alpine Mesic Herbaceous Meadow,Herb,Grassland,255,211,119,1,0.827451,0.466667
4408,Alaska Sub-boreal Mesic Subalpine Alder Shrubland,Shrub,Shrubland,146,237,224,0.572549,0.929412,0.878431
4409,Alaska Sub-boreal Mountain Hemlock-White Spruce Forest,Tree,Conifer,182,250,227,0.713725,0.980392,0.890196
4410,Alaska Sub-boreal White-Lutz Spruce Forest and Woodland,Tree,Conifer,182,250,227,0.713725,0.980392,0.890196
4411,Alaskan Pacific Acidic Shrub Peatland,Shrub,Riparian,133,39,8,0.521569,0.152941,0.031373
4412,Alaskan Pacific Alpine-Subalpine Dwarf-shrubland & Heath,Shrub,Shrubland,212,129,34,0.831373,0.505882,0.133333
4413,Alaskan Pacific Floodplain Conifer Forest,Tree,Riparian,18,76,135,0.070588,0.298039,0.529412
4414,Alaskan Pacific Maritime Alpine Floodplain Shrubland,Shrub,Riparian,18,76,135,0.070588,0.298039,0.529412
4415,Alaskan Pacific Maritime Avalanche Slope Shrubland,Shrub,Shrubland,146,237,224,0.572549,0.929412,0.878431
4416,Alaskan Pacific Maritime Coastal Meadow and Slough-Levee,Herb,Grassland,255,0,0,1,0,0
4417,Alaskan Pacific Maritime Mesic Herbaceous Meadow,Herb,Grassland,255,85,33,1,0.333333,0.129412
4418,Alaskan Pacific Maritime Mountain Hemlock-Shore Pine Peatland,Tree,Conifer,133,39,8,0.521569,0.152941,0.031373
4419,Alaskan Pacific Maritime Western Hemlock Forest,Tree,Conifer,4,45,117,0.015686,0.176471,0.458824
