VALUE,FBFM40,R,G,B,RED,GREEN,BLUE
91,NB1,104,104,104,0.407843,0.407843,0.407843
92,NB2,225,225,225,0.882353,0.882353,0.882353
93,NB3,255,237,237,1.000000,0.929412,0.929412
98,NB8,0,14,214,0.000000,0.054902,0.839216
99,NB9,77,110,112,0.301961,0.431373,0.439216
101,GR1,255,235,190,1.000000,0.921569,0.745098
102,GR2,255,211,115,1.000000,0.827451,0.450980
103,GR3,255,236,139,1.000000,0.925490,0.545098
104,GR4,255,255,115,1.000000,1.000000,0.450980
105,GR5,245,222,41,0.960784,0.870588,0.160784
106,GR6,230,230,64,0.901961,0.901961,0.250980
107,GR7,205,198,115,0.803922,0.776471,0.450980
108,GR8,139,134,78,0.545098,0.525490,0.305882
109,GR9,168,112,0,0.658824,0.439216,0.000000
121,GS1,255,170,0,1.000000,0.666667,0.000000
122,GS2,255,167,127,1.000000,0.654902,0.498039
123,GS3,255,99,0,1.000000,0.388235,0.000000
124,GS4,205,102,0,0.803922,0.400000,0.000000
141,SH1,215,194,158,0.843137,0.760784,0.619608
142,SH2,215,176,158,0.843137,0.690196,0.619608
143,SH3,205,137,102,0.803922,0.537255,0.400000
144,SH4,137,90,68,0.537255,0.352941,0.266667
145,SH5,205,170,102,0.803922,0.666667,0.400000
146,SH6,237,112,68,0.929412,0.439216,0.266667
147,SH7,205,125,57,0.803922,0.490196,0.223529
148,SH8,168,56,0,0.658824,0.219608,0.000000
149,SH9,115,26,0,0.450980,0.101961,0.000000
161,TU1,233,255,190,0.913725,1.000000,0.745098
162,TU2,170,255,0,0.666667,1.000000,0.000000
163,TU3,180,215,158,0.705882,0.843137,0.619608
164,TU4,112,168,0,0.439216,0.658824,0.000000
165,TU5,38,115,0,0.149020,0.450980,0.000000
181,TL1,190,255,232,0.745098,1.000000,0.909804
182,TL2,0,255,197,0.000000,1.000000,0.772549
183,TL3,190,210,255,0.745098,0.823529,1.000000
184,TL4,123,104,238,0.482353,0.407843,0.933333
185,TL5,190,232,255,0.745098,0.909804,1.000000
186,TL6,0,197,255,0.000000,0.772549,1.000000
187,TL7,0,132,168,0.000000,0.517647,0.658824
188,TL8,0,92,230,0.000000,0.360784,0.901961
189,TL9,77,110,145,0.301961,0.431373,0.568627
201,SB1,232,190,255,0.909804,0.745098,1.000000
202,SB2,197,0,255,0.772549,0.000000,1.000000
203,SB3,255,190,232,1.000000,0.745098,0.909804
204,SB4,255,127,127,1.000000,0.498039,0.498039
-9999,Fill-NoData,255,255,255,1.000000,1.000000,1.000000
